symbol,t_score
CRAZYINF,
CREATIVE,38
CREATIVE,88
CREATIVEYE,75
CREDENCE,
CREDITACC,12
CRESSAN,25
CREST,50
CRIMSON,67
CRISIL,50
CROISSANCE,0
CROMPTON,100
CROPSTER,12
CROWN,75
CRPRISK,
CRSTCHM,75
CSBBANK,38
CSL,38
CSLFINANCE,62
CSURGSU,50
CTCL,
CTE,75
CTL,62
CUB,75
CUBEINVIT,
CUBEXTUB,25
CUBIFIN,62
CUMMINSIND,75
CUPID,12
CUPIDTR,
CURATECH,
CWD,38
CYBELEIND,25
CYBERMEDIA,0
CYBERSC,
CYBERTECH,75
CYIENT,38
CYIENTDLM,50
DABUR,75
DAICHI,75
DAIKAFFI,75
DAL,75
DALBHARAT,12
DALMIASUG,62
DAMODARIND,25
DANGEE,0
DANLAW,62
DANUBE,12
DAPS,
DARJEELING,88
DARSHANORNA,75
DATAINFRA,67
DATAMATICS,38
DATAPATTNS,62
DATAPRO,
DATASOFT,100
DATIWARE,0
DAULAT,62
DAVANGERE,17
DAZZEL,
DBCORP,62
DBL,75
DBOL,62
DBREALTY,0
DBSTOCKBRO,12
DCAL,12
DCBBANK,62
DCG,50
DCI,75
DCL,
DCM,38
DCMFINSERV,62
DCMNVL,75
DCMSHRIRAM,62
DCMSRIND,75
DCW,62
DCXINDIA,100
DDEVPLASTIK,75
DDIL,12
DECANBRG,50
DECCAN,50
DECCANCE,75
DECIPHER,50
DECNGOLD,0
DECOMIC,50
DECPO,12
DEEM,0
DEEP,0
DEEPAKCHEM,
DEEPAKFERT,75
DEEPAKNTR,75
DEEPAKSP,38
DEEPENR,12
DEEPINDS,62
DEKSON,
DEL,25
DELAPLEX,0
DELHIVERY,25
DELPHIFX,12
DELTA,12
DELTACORP,38
DELTAMAGNT,38
DELTRON,
DEN,62
DENEERS,25
DENISCHEM,62
DENORA,75
DENTALKART,62.5
DESHRAK,58
DESTINY,
DEVHARI,
DEVIKA,
DEVINE,75
DEVIT,25
DEVITRD,
DEVLAB,
DEVYANI,38
DFL,88
DGCONTENT,75
DGL,
DHABRIYA,50
DHAMPURE,50
DHAMPURSUG,38
DHAMSUGR,
DHANADACO,
DHANBANK,50
DHANCOT,12
DHANFAB,75
DHANI,62
DHANLEELA,
DHANROTO,88
DHANUKA,75
DHARFIN,62
DHARMAJ,75
DHARNI,
DHARSUGAR,
DHATRE,12
DHENUBUILD,
DHINDIA,25
DHOOTIN,75
DHPIND,25
DHRUV,62
DHRUVCA,38
DHTL,0
DHUNINV,88
DHYAANITR,
DIACABS,75
DIAMANT,88
DIAMINESQ,50
DIAMOND,
DIAMONDYD,50
DIANATEA,62
DICIND,75
DIDL,
DIGIDRIVE,17
DIGIFIBRE,
DIGIKORE,0
DIGISPICE,50
DIGJAMLMTD,12
DIKSAT,
DIL,12
DILIGENT,25
DINIRST,
DION,
DISAQ,50
DISHTV,12
DITCO,0
DIVGIITTS,0
DIVINUS,
DIVISLAB,75
DIVSHKT,62
DIXON,100
DJML,75
DJSSS,
DKEGL,0
DLCL,
DLF,38
DLINKINDIA,100
DLTNCBL,75
DMART,75
DMCC,50
DMCEDU,
DML,
DMR,
DNAMEDIA,62
DODLA,75
DOLATALGO,50
DOLFIN,38
DOLLAR,50
DOLLEX,0
DOLPHIN,17
DOLPHMED,0
DOMS,75
DONEAR,75
DPABHUSHAN,50
DPL,
DPSCLTD,25
DPWIRES,0
DQE,
DRA,
DRAGARWQ,50
